"topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","topic11","topic12","topic13","topic14","topic15"
0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.314285714285714,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.314285714285714
0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.12,0.02
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.533333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333
0.02,0.02,0.02,0.02,0.32,0.02,0.12,0.02,0.02,0.12,0.02,0.02,0.02,0.12,0.12
0.171428571428571,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.171428571428571,0.171428571428571,0.0285714285714286,0.171428571428571,0.0285714285714286
0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333
0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.314285714285714,0.171428571428571,0.0285714285714286,0.0285714285714286,0.171428571428571,0.0285714285714286,0.0285714285714286
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.44,0.04
0.04,0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.24,0.04,0.04,0.04
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05,0.05
0.05,0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.24,0.04,0.04,0.24
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.24,0.04,0.04,0.04,0.24,0.04,0.04
0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.24,0.04,0.04,0.04
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333
0.025,0.025,0.025,0.025,0.525,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.15,0.025
0.04,0.04,0.04,0.04,0.44,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.24,0.04,0.04,0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.15,0.025,0.15,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.15,0.025
0.0285714285714286,0.0285714285714286,0.0285714285714286,0.314285714285714,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.314285714285714,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.24,0.24,0.04
0.025,0.025,0.025,0.025,0.4,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.15,0.025,0.15
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05,0.05
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.24,0.24,0.04
0.0333333333333333,0.0333333333333333,0.366666666666667,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333
0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333
0.04,0.04,0.04,0.04,0.04,0.04,0.44,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.533333333333333,0.0333333333333333
0.05,0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.025,0.025,0.025,0.15,0.025,0.275,0.15,0.025,0.025,0.025,0.025,0.025,0.15,0.025,0.025
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.24,0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.04
0.05,0.05,0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.04,0.04,0.04,0.04,0.04,0.04,0.24,0.04,0.04,0.04,0.04,0.24,0.04,0.04,0.04
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.44,0.04,0.04
0.04,0.04,0.04,0.04,0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.24,0.04
0.05,0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.04,0.04,0.04,0.04,0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.04,0.24,0.04,0.04
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333
0.025,0.025,0.4,0.15,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.15,0.025,0.025,0.025
0.04,0.44,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.44,0.04,0.04
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.44,0.04,0.04
0.025,0.025,0.025,0.025,0.15,0.025,0.025,0.025,0.025,0.15,0.15,0.025,0.025,0.275,0.025
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05,0.05
0.275,0.025,0.025,0.025,0.025,0.15,0.15,0.025,0.025,0.025,0.025,0.15,0.025,0.025,0.025
0.05,0.05,0.05,0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.65,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2
0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.15,0.15,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.15,0.025,0.025,0.025
0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.15,0.025
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.366666666666667,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333
0.02,0.02,0.02,0.02,0.02,0.32,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.02
0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.366666666666667,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333
0.04,0.04,0.04,0.04,0.44,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.290909090909091,0.0181818181818182,0.290909090909091,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.109090909090909,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.109090909090909,0.0181818181818182,0.0181818181818182
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.44,0.04,0.04,0.04,0.04,0.04,0.04
0.466666666666667,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.244444444444444,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222
0.0285714285714286,0.0285714285714286,0.0285714285714286,0.6,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286
0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.6,0.0285714285714286,0.0285714285714286
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.366666666666667,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333
0.05,0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.12,0.02,0.02,0.12,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.32,0.02,0.02,0.02
0.0222222222222222,0.0222222222222222,0.133333333333333,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.244444444444444,0.0222222222222222,0.244444444444444,0.0222222222222222,0.0222222222222222,0.133333333333333,0.0222222222222222
0.04,0.04,0.04,0.44,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.366666666666667,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05
0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.457142857142857,0.171428571428571,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286
0.04,0.04,0.04,0.04,0.24,0.04,0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.025,0.025,0.025,0.025,0.025,0.15,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.275
0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.171428571428571,0.457142857142857,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.05
0.314285714285714,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.314285714285714,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.44,0.04
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.2
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05,0.05,0.05,0.05,0.05
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.44,0.04,0.04,0.04,0.04,0.04
0.15,0.025,0.4,0.025,0.025,0.025,0.025,0.025,0.15,0.025,0.025,0.025,0.025,0.025,0.025
0.04,0.24,0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.44,0.04,0.04,0.04,0.04,0.04
0.04,0.04,0.04,0.04,0.44,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05,0.05,0.05
0.1,0.0166666666666667,0.35,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.266666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.1,0.0166666666666667,0.0166666666666667,0.0166666666666667
0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.314285714285714,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.314285714285714,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.44,0.04,0.04,0.04,0.04,0.04,0.04
0.65,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05,0.05,0.05,0.05,0.05
0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.02,0.02
0.133333333333333,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.244444444444444,0.0222222222222222,0.0222222222222222,0.244444444444444,0.0222222222222222,0.0222222222222222,0.133333333333333,0.0222222222222222,0.0222222222222222
0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.366666666666667,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333
0.0285714285714286,0.0285714285714286,0.314285714285714,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.314285714285714,0.0285714285714286,0.0285714285714286
0.025,0.025,0.025,0.025,0.025,0.025,0.15,0.025,0.025,0.025,0.025,0.15,0.15,0.025,0.275
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.525,0.025,0.025,0.025,0.15,0.025
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05
0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.314285714285714,0.0285714285714286,0.0285714285714286,0.314285714285714,0.0285714285714286
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.2
0.025,0.025,0.025,0.275,0.025,0.275,0.025,0.025,0.025,0.15,0.025,0.025,0.025,0.025,0.025
0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.0285714285714286,0.457142857142857,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.171428571428571,0.0285714285714286
0.314285714285714,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.171428571428571,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.171428571428571,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286
0.0285714285714286,0.0285714285714286,0.171428571428571,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.171428571428571,0.314285714285714,0.0285714285714286,0.0285714285714286,0.0285714285714286
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.24
0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.0181818181818182,0.0181818181818182,0.0181818181818182,0.381818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.381818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182
0.04,0.04,0.04,0.24,0.04,0.04,0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.355555555555556,0.0222222222222222,0.133333333333333,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.244444444444444,0.0222222222222222,0.0222222222222222
0.0285714285714286,0.0285714285714286,0.171428571428571,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.314285714285714,0.0285714285714286,0.171428571428571,0.0285714285714286,0.0285714285714286
0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.366666666666667,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333
0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.366666666666667,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333
0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.6,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.366666666666667,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333
0.04,0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.24,0.04
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.2,0.0333333333333333
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.533333333333333,0.0333333333333333,0.0333333333333333
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.44,0.04,0.04,0.04,0.04,0.04,0.04
0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333
0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.784615384615385,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154
0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.24,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.171428571428571,0.0285714285714286,0.457142857142857,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286
0.0333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.366666666666667,0.0333333333333333
0.02,0.02,0.02,0.12,0.32,0.12,0.12,0.02,0.02,0.02,0.02,0.12,0.02,0.02,0.02
0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.171428571428571,0.0285714285714286,0.171428571428571,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.314285714285714,0.0285714285714286,0.0285714285714286,0.0285714285714286
